file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0027_0031_217594_to_222015,ལགས་སོ། ལགས་སོ། ཨ་ཅག་ཀུ་ཅི། དེ་ཁ་ལག་དེ་ཚོ་གཅིག་ངོ་སྤྲོད་ཅིག་གནང་གེ། འུན་། ཡིན་ད་ཡིན་ཡ། ཞིམ་མདོག་འདུག ,lags so/_lags so/_a cag ku ci/_de kha lag de tsho gcig ngo sprod cig gnang ge/_'un /_yin da yin ya/_zhim mdog 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0027_0031_217594_to_222015.wav,STT_NS,3,101,4.421,wav16k/STT_NS0027_0031_217594_to_222015.wav,ལགས་སོ་ལགས་སོ། ཨ་ཅག་ཀུ་ཅི་དེ་ཁ་ལག་དེ་ཚོ་ཅིག་ངོ་སྤྲོད་ཅིག་གནང་གེ། ཞིང་མདོག་ཁ་པོ་འདུག་་་ཡ།
STT_NS0027_0032_222505_to_228259,ད་འདི་ག་རེ་གནང་བ་ཡ་རེད། ང་ཚོ་ཨ་། ཤ་མོག་རེད་རཱ་ཡ། ནང་ལོག་ལ་ཤ་ཡོད་རེད། ཕྱི་ལོག་ལ་ཨ་ནས་ང་ཚོ་ ,da 'di ga re gnang ba ya red/_nga tsho a /_sha mog red rA ya/_nang log la sha yod red/_phyi log la a nas nga tsho _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0027_0032_222505_to_228259.wav,STT_NS,3,90,5.754,wav16k/STT_NS0027_0032_222505_to_228259.wav,ད་འདེ་ག་རེ་ལབ་ན་ཡོད་བ། ང་ཚོ་ཤ་མོག་རེད་རེད་བ་ཡ། ནང་ལོགས་ལ་ཤ་གཡུག་རེད། ཕྱི་ལོགས་ལ་ཨེ་ནས་ང་ཚོ་
STT_NS0027_0033_228259_to_234014,ད་ལྟ་ཡངས་མིན་ལབ་ཡ་གཅིག་འདུག་བ། ཨ་ལེ་ལེ། དེ་ང་ཚོ་ཨ་ཋཱ་འདྲ་བོ་ལབ་གི་འདུག་བ། དེ་གིས་བཟོས་རྒྱོ་རེད།  ,da lta yangs min lab ya gcig 'dug ba/_a le le/_de nga tsho a ThA 'dra bo lab gi 'dug ba/_de gis bzos rgyo red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0027_0033_228259_to_234014.wav,STT_NS,3,97,5.755,wav16k/STT_NS0027_0033_228259_to_234014.wav,ད་ལྟ་ཡང་སམན་ལབ་ཡ་ཅིག་འདུག་བ། ཨ་ལེ་ལེ་། དེ་ང་ཚོ་ཨ་ྐྲ་འདྲ་བོ་ལབ་ཀི་འདུག་བ། དེ་གིས་བཟོས་རྒྱོ་རེད།
STT_NS0027_0034_234435_to_238874,དེ། དེ་འདྲ་བོ་རེད། འུན་། མོག་མོག་ལབ་གི་འདུག་བ། ཁ་ཤས གིས། འོ་། མོག་མོག་ལབ་ཡ་དེ། དེ་ལ་འདྲ་བོ་རེད། འུན་ཧོང་འདྲ་བོ་རེད།  ,de/_de 'dra bo red/_'un /_mog mog lab gi 'dug ba/_kha shas_gis/_'o /_mog mog lab ya de/_de la 'dra bo red/_'un hong 'dra bo red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0027_0034_234435_to_238874.wav,STT_NS,3,117,4.439,wav16k/STT_NS0027_0034_234435_to_238874.wav,དེ་དི་འདྲ་བོ་རེད། ཨམོག་མོག་ལབ་ཀི་འདུག་བ་ཁ་ཤས། ཨོ་་མོག་མོ་འདྲ་བོ་རེད། ཨོ་འདྲ་བོ་རེད།
STT_NS0027_0035_239160_to_248688,དེ་ཡིན་ན། རྦད་དེ་མོག་མོག་མོག་རྐྱང་མ་རེད་གདའ། དེ་ང་ཚོ་ཡིན་ན། མོག་ཐུག་འདྲ་བོ་ལབ་གི་རཱ་མིང་། ཨ་ལེ་ལེ། ད་བཟོ་ལྟ་མོག་མོག་འདྲ་བོ་རེད། ཆེ་ཆུང་ཏིས་སི་ཡོད་རེད་མ་གཞི། རེད་བ་ཡ། རེད་ཤག་རེད་ཤག ཨ་ནས་འདིའི་གོང་ན་ ,de yin na/_rbad de mog mog mog rkyang ma red gda'/_de nga tsho yin na/_mog thug 'dra bo lab gi rA ming /_a le le/_da bzo lta mog mog 'dra bo red/_che chung tis si yod red ma gzhi/_red ba ya/_red shag red shag_a nas 'di'i gong na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0027_0035_239160_to_248688.wav,STT_NS,3,198,9.528,wav16k/STT_NS0027_0035_239160_to_248688.wav,དེ་ཡིན་ན་རྦད་དེ་མོག་མོག་མོག་རྐྱང་མ་རེད་ད། ད་ང་ཚོ་ཡིན་ན་མོག་ཐུག་འདྲ་བོ་ལབ་ཀི་རེད་། མིང་། ཨ་ལེ་ལ། ད་བཟོ་ལྟ་མོག་མོག་འདྲ་བོ་རེད། ཆེ་ཆུང་ཏོག་ཙི་ཡོད་རེད་མ་ཤས་རེད་བ་ཡ།  ཨེ་ནས་དེ་ག་རེ་ལབ་ན་
STT_NS0027_0036_248688_to_258216,འདི་ཡིན་ན་ཕིང་ཤ་རེད། ཕིང་ཤ། འདིའི་ནང་ལོག་ན་ག་རེ་བླུག་དགོས་རེད་ལབ་ན། ཕིང་བླུག་དགོས་རེད། ཤ་བླུག་དགོས་རེད། ཨ་ནས་པད་ཚལ་བླུག་དགོས་རེད། ཨ་ནས་ང་ཚོ་ཞོགས་ཁོག་ལབ་གི་འདུག་བ། འུན་རེད། ཨ་ལུ། ཨ་ལུ་བླུག་དགོས་རེད།  ,'di yin na phing sha red/_phing sha/_'di'i nang log na ga re blug dgos red lab na/_phing blug dgos red/_sha blug dgos red/_a nas pad tshal blug dgos red/_a nas nga tsho zhogs khog lab gi 'dug ba/_'un red/_a lu/_a lu blug dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0027_0036_248688_to_258216.wav,STT_NS,3,199,9.528,wav16k/STT_NS0027_0036_248688_to_258216.wav,ཕིང་ཤ་རེད། ཕིང་ཤ། འོ་དེའི་ནང་ལོགས་ལ་ག་རེ་བླུགས་དགོས་རེད་ལབ་ན་ཕིང་བླུགས་དགོས་རེད། ཤ་བླུགས་དགོས་རེད། ཨེ་ནས་པད་ཚལ་བླུགས་དགོས་རེད། ཨེ་ནས་ང་ཚོ་ཞོག་ཁོག་ལབ་ཀི་འདུག་ཨ་ཨ་ལུ། ཨུ་་རེད། ཨ་ལུ་བླུག་དགོས་རེད།
STT_NS0027_0037_258216_to_267743,རཱ། དེ་ཚོ་གསུམ་བྱས་སོང་བ། ཨ་ནས་འདི་ག་རེ་ན་ང་ཚོ་ཨ་ལུ་སིབ་སིབ་གཏུབས་ནས་ཡོད་བ། བཟོས་རྒྱོ་གཅིག་འདུག་བ། དེའི་གོང་ལ་ཨ་ནས་ང་ཚོ་ད་སྨན་སྣ་འདྲ་མོ་འདྲ་བླུགས་ནས་བཟོས་རྒྱོ་རེད། ཨ་ལེ་། འདི་ ,rA/_de tsho gsum byas song ba/_a nas 'di ga re na nga tsho a lu sib sib gtubs nas yod ba/_bzos rgyo gcig 'dug ba/_de'i gong la a nas nga tsho da sman sna 'dra mo 'dra blugs nas bzos rgyo red/_a le /_'di _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0027_0037_258216_to_267743.wav,STT_NS,3,176,9.527,wav16k/STT_NS0027_0037_258216_to_267743.wav,རེདེ་ཚོ་གསུམ་བྱས་སོང་ལས་ས། ཨེ་ནས་དེ་ག་རེ་ེ་ལབ་ན་ང་ཚོ་ཨ་ལུ་སིབ་སིབ་བཏུབ་ནས་ཡོད་བ།བཟོས་རྒྱོ་ཅིག་འདུག་བ འོ་དེའི་སྒང་ལ་ཨ་ན་ང་ཚོ་དསྨན་སྣ་འདྲ་མི་འདྲ་བླུགས་བཟོས་རྒྱོ་རེད། ཨ་ལེད
STT_NS0027_0038_267743_to_277271,འདི་ཨ་ལུ་སིབ་སིབ་དེ་དམིགས་བསལ་གི་སྣུམ་བཀྲག་དང་དེ་འདྲའི་བཏང་ཡོད་རེད། ཨ་། དང་པོ་སྔོན་ལ་ང་ཚོ་ང་ཚོ་ཡིན་ན་འདི་བླུག་གི་འདུག་བ། ག་རེ་ཙོང་དང་། ཨ་ནས་།  ,'di a lu sib sib de dmigs bsal gi snum bkrag dang de 'dra'i btang yod red/_a /_dang po sngon la nga tsho nga tsho yin na 'di blug gi 'dug ba/_ga re tsong dang /_a nas /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0027_0038_267743_to_277271.wav,STT_NS,3,143,9.528,wav16k/STT_NS0027_0038_267743_to_277271.wav,ཨ་ལུ་ས་དམིགས་བསལ་གི་སྣུམ་སྐྲག་དང་དེ་འདྲ་བཏང་ཡོད་རེད། ཨ་འོ། དང་པོ་སྔོན་ལ་ང་ཚོ་ང་ཚོ་ཡིན་ན་དེ་བླུག་གི་འདུག་བ། ག་རེ་རཙོང་དང་ཨེ་ནས་
STT_NS0027_0039_277271_to_286799,དྲོ་མ་དྲོ་བླུག་ཡོད་བ། དེ་བླུག ཨ་ནས་དེ་ཞེ་བོ་སྣུམ་ཞེ་པོ་མ་བླུག་པ་བྱས། སྤྱིར་བཏང་རྒྱ་གར་ཁ་ལག་དེ་ཚོ་སྣུམ་ཞེ་པོ་འདུག་བ། རེད་རེད། ཡིན་ན་ཡང་། ང་ཚོ་དེ་ལ་སྣུམ་མར་གཅིག་བླུག་ཐུབ་ན་ཡག་པོ་ཡོད་རེད། དེ་ལ་ ,dro ma dro blug yod ba/_de blug_a nas de zhe bo snum zhe po ma blug pa byas/_spyir btang rgya gar kha lag de tsho snum zhe po 'dug ba/_red red/_yin na yang /_nga tsho de la snum mar gcig blug thub na yag po yod red/_de la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0027_0039_277271_to_286799.wav,STT_NS,3,191,9.528,wav16k/STT_NS0027_0039_277271_to_286799.wav,ཀྲོམ་ཨ་འདྲ་ཡོད་བ། ཨུ། དེ་བླུག ཨེ་ནས་དེ་བ་སྣུམ་ཞེ་བོ་མ་བླུགས་པ་བྱས། སྤྱིར་བཏང་རྒྱ་གར་ཁ་ལག་དེ་ཚོ་སྣུམ་ཞེ་བོ་འདུག་བར། ཡིན་ནས་ང་ཚོ་དེ་ལ་ན་མར་བླུག་ཐུབ་ན་ཡག་པོ་ཡོད་རེད་འདེ་ལ།
STT_NS0027_0040_287389_to_294544,ང་ཡིན་ན་མར་བླུགས་ནས་བཟོ་ཡི་ཡོད་ཡ། ཨ་ལེ་ལེ། ཨ་ལུ་སིབ་སིབ་ལ་མར་བླུག་ནས་བཟོས་ན། ཨ་ནས་བཅུད་ཆེན་པོ་ཆགས་ཡག་པོ་ཡོད་རེད་རཱ་ཡ། འུན་། ཁ་ཤས་གིས་ཡང་སྣུམ་གིསསྣུམ་གིས་བཟོ་ངེ་ཡོད་རེད།  ,nga yin na mar blugs nas bzo yi yod ya/_a le le/_a lu sib sib la mar blug nas bzos na/_a nas bcud chen po chags yag po yod red rA ya/_'un /_kha shas gis yang snum gisasnum gis bzo nge yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0027_0040_287389_to_294544.wav,STT_NS,3,170,7.155,wav16k/STT_NS0027_0040_287389_to_294544.wav,ང་ཡིན་ན་མར་བླུགས་ནས་བཟོ་གི་ཡོད་བ། ཨལེ། ཨ་ལོ་སིབ་སིབ་ལ་མར་བླུགས་ནས་བཟོ་ན་ཨེ་ན་བཅུད་ཆེན་པོ་བྱས་ཡག་པོ་ད་རེད་རེ་ཡ། ཁ་ཤས་ཡང་སྣུམ་གི་བཟོ་ངེ་ཡོད་རེད།
